Code,Indicator Name,Short definition,Long definition,Source,Topic,Dataset,Periodicity,Aggregation method,General comments
DT.GPA.DPPG,Average grace period on new external debt commitments (years),"Grace period is the period from the date of signature of the loan or the issue of the financial instrument to the first repayment of principal. To obtain the average, the grace periods for all public and publicly guaranteed loans have been weighted by the amounts of the loans. Public debt is an external obligation of a public debtor, including the national government, a political subdivision (or an agency of either), and autonomous public bodies. Publicly guaranteed debt is an external obligation of a private debtor that is guaranteed for repayment by a public entity.","Grace period is the period from the date of signature of the loan or the issue of the financial instrument to the first repayment of principal. To obtain the average, the grace periods for all public and publicly guaranteed loans have been weighted by the amounts of the loans. Public debt is an external obligation of a public debtor, including the national government, a political subdivision (or an agency of either), and autonomous public bodies. Publicly guaranteed debt is an external obligation of a private debtor that is guaranteed for repayment by a public entity.","World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Terms,International Debt Statistics,Annual,Weighted average,
DT.MAT.DPPG,Average maturity on new external debt commitments (years),"Maturity is the number of years to original maturity date, which is the sum of grace and repayment periods. Grace period for principal is the period from the date of signature of the loan or the issue of the financial instrument to the first repayment of principal. The repayment period is the period from the first to last repayment of principal. To obtain the average, the maturity for all public and publicly guaranteed loans have been weighted by the amounts of the loans. Public debt is an external obligation of a public debtor, including the national government, a political subdivision (or an agency of either), and autonomous public bodies. Publicly guaranteed debt is an external obligation of a private debtor that is guaranteed for repayment by a public entity.","Maturity is the number of years to original maturity date, which is the sum of grace and repayment periods. Grace period for principal is the period from the date of signature of the loan or the issue of the financial instrument to the first repayment of principal. The repayment period is the period from the first to last repayment of principal. To obtain the average, the maturity for all public and publicly guaranteed loans have been weighted by the amounts of the loans. Public debt is an external obligation of a public debtor, including the national government, a political subdivision (or an agency of either), and autonomous public bodies. Publicly guaranteed debt is an external obligation of a private debtor that is guaranteed for repayment by a public entity.","World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Terms,International Debt Statistics,Annual,Weighted average,
DT.DOD.ALLC.ZS,Concessional debt (% of total external debt),Concessional debt to total external debt stocks. Concessional debt is defined as loans with an original grant element of 35 percent or more.,Concessional debt to total external debt stocks. Concessional debt is defined as loans with an original grant element of 35 percent or more.,"World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Debt ratios & other items,International Debt Statistics,Annual,Weighted average,
DT.CUR.OTHC.ZS,"Currency composition of PPG debt, all other currencies (%)",The percentage of external long-term public and publicly-guaranteed debt contracted in all other currencies not specified for the low- and middle-income countries.,The percentage of external long-term public and publicly-guaranteed debt contracted in all other currencies not specified for the low- and middle-income countries.,"World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Currency composition,International Debt Statistics,Annual,Weighted average,
DT.CUR.DMAK.ZS,"Currency composition of PPG debt, Deutsche mark (%)",The percentage of external long-term public and publicly-guaranteed debt contracted in Deutsche marks for the low- and middle-income countries.,The percentage of external long-term public and publicly-guaranteed debt contracted in Deutsche marks for the low- and middle-income countries.,"World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Currency composition,International Debt Statistics,Annual,Weighted average,
DT.CUR.EURO.ZS,"Currency composition of PPG debt, Euro (%)",The percentage of external long-term public and publicly-guaranteed debt contracted in Euros for the low- and middle-income countries.,The percentage of external long-term public and publicly-guaranteed debt contracted in Euros for the low- and middle-income countries.,"World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Currency composition,International Debt Statistics,Annual,Weighted average,
DT.CUR.FFRC.ZS,"Currency composition of PPG debt, French franc (%)",The percentage of external long-term public and publicly-guaranteed debt contracted in French francs for the low- and middle-income countries.,The percentage of external long-term public and publicly-guaranteed debt contracted in French francs for the low- and middle-income countries.,"World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Currency composition,International Debt Statistics,Annual,Weighted average,
DT.CUR.JYEN.ZS,"Currency composition of PPG debt, Japanese yen (%)",The percentage of external long-term public and publicly-guaranteed debt contracted in Japanese yen for the low- and middle-income countries.,The percentage of external long-term public and publicly-guaranteed debt contracted in Japanese yen for the low- and middle-income countries.,"World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Currency composition,International Debt Statistics,Annual,Weighted average,
DT.CUR.MULC.ZS,"Currency composition of PPG debt, Multiple currencies (%)",The percentage of external long-term public and publicly-guaranteed debt contracted in multiple currencies for the low- and middle-income countries.,The percentage of external long-term public and publicly-guaranteed debt contracted in multiple currencies for the low- and middle-income countries.,"World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Currency composition,International Debt Statistics,Annual,Weighted average,
DT.CUR.UKPS.ZS,"Currency composition of PPG debt, Pound sterling (%)",The percentage of external long-term public and publicly-guaranteed debt contracted in U.K. pound sterling for the low- and middle-income countries.,The percentage of external long-term public and publicly-guaranteed debt contracted in U.K. pound sterling for the low- and middle-income countries.,"World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Currency composition,International Debt Statistics,Annual,Weighted average,
DT.CUR.SDRW.ZS,"Currency composition of PPG debt, SDR (%)",The percentage of external long-term public and publicly-guaranteed debt contracted in special drawing rights for the low- and middle-income countries.,The percentage of external long-term public and publicly-guaranteed debt contracted in special drawing rights for the low- and middle-income countries.,"World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Currency composition,International Debt Statistics,Annual,Weighted average,
DT.CUR.SWFR.ZS,"Currency composition of PPG debt, Swiss franc (%)",The percentage of external long-term public and publicly-guaranteed debt contracted in Swiss francs for the low- and middle-income countries.,The percentage of external long-term public and publicly-guaranteed debt contracted in Swiss francs for the low- and middle-income countries.,"World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Currency composition,International Debt Statistics,Annual,Weighted average,
DT.CUR.USDL.ZS,"Currency composition of PPG debt, U.S. dollars (%)",The percentage of external long-term public and publicly-guaranteed debt contracted in U.S. dollars for the low- and middle-income countries.,The percentage of external long-term public and publicly-guaranteed debt contracted in U.S. dollars for the low- and middle-income countries.,"World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Currency composition,International Debt Statistics,Annual,Weighted average,
DT.DIS.DLXF.CD,"Disbursements on external debt, long-term (DIS, current US$)","Disbursements on long-term debt are drawings by the borrower on loan commitments during the year specified. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars.","Disbursements on long-term debt are drawings by the borrower on loan commitments during the year specified. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars.","World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Disbursements,International Debt Statistics,Annual,Sum,
DT.DIS.DEGG.CD,"Disbursements on external debt, general government sector (PPG) (DIS, current US$)","General government long-term debt are aggregated. Public debt is an external obligation of a public debtor, including the national government, a political subdivision (or an agency of either), and autonomous public bodies. Publicly guaranteed debt is an external obligation of a private debtor that is guaranteed for repayment by a public entity. Disbursements are drawings by the borrower on loan commitments during the year specified. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars.","General government long-term debt are aggregated. Public debt is an external obligation of a public debtor, including the national government, a political subdivision (or an agency of either), and autonomous public bodies. Publicly guaranteed debt is an external obligation of a private debtor that is guaranteed for repayment by a public entity. Disbursements are drawings by the borrower on loan commitments during the year specified. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars.","World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Disbursements,International Debt Statistics,Annual,Sum,
DT.UND.DPPG.CD,"Undisbursed external debt, total (UND, current US$)","Undisbursed debt is the total public and publicly guaranteed debt undrawn at year end; data for private nonguaranteed debt are not available. Public and publicly guaranteed long-term debt are aggregated. Public debt is an external obligation of a public debtor, including the national government, a political subdivision (or an agency of either), and autonomous public bodies. Publicly guaranteed debt is an external obligation of a private debtor that is guaranteed for repayment by a public entity. Data are in current U.S. dollars.","Undisbursed debt is the total public and publicly guaranteed debt undrawn at year end; data for private nonguaranteed debt are not available. Public and publicly guaranteed long-term debt are aggregated. Public debt is an external obligation of a public debtor, including the national government, a political subdivision (or an agency of either), and autonomous public bodies. Publicly guaranteed debt is an external obligation of a private debtor that is guaranteed for repayment by a public entity. Data are in current U.S. dollars.","World Bank, International Debt Statistics.",Economic Policy & Debt: External debt: Undisbursed debt,International Debt Statistics,Annual,Sum,
FI.RES.TOTL.DT.ZS,Total reserves (% of total external debt),International reserves to total external debt stocks.,International reserves to total external debt stocks.,"World Bank, International Debt Statistics.",Economic Policy & Debt: Balance of payments: Reserves & other items,International Debt Statistics,Annual,Weighted average,
